sentence,alpha,tokens,D_t_values,avg_D_t,std_D_t,distance_discrimination
小猫追着蝴蝶跑过花园,0.0,"['小', '猫', '追', '着', '蝴蝶', '跑', '过', '花园']","[0.0, 0.9664811217023803, 1.0175655845404399, 0.9886290785697476, 0.9496381895472634, 1.0459641476896415, 1.0039414756324212, 1.0007941127324027]",0.871626713801787,0.3306034139668384,0.0
小猫追着蝴蝶跑过花园,0.2,"['小', '猫', '追', '着', '蝴蝶', '跑', '过', '花园']","[0.0, 0.8257104401792879, 0.9145637293240353, 0.8906436778829113, 0.8337969548506163, 0.9383384115561386, 0.9044382257346553, 0.87765500399005]",0.7731433054397118,0.2944166451896223,0.0
小猫追着蝴蝶跑过花园,0.3,"['小', '猫', '追', '着', '蝴蝶', '跑', '过', '花园']","[0.0, 0.7553250994177416, 0.863062801715833, 0.8416509775394933, 0.7758763375022928, 0.8845255434893872, 0.8546866007857723, 0.8160854496188737]",0.7239016012586743,0.2766667042430642,0.0
小猫追着蝴蝶跑过花园,0.4,"['小', '猫', '追', '着', '蝴蝶', '跑', '过', '花园']","[0.0, 0.6849397586561954, 0.8115618741076308, 0.7926582771960751, 0.7179557201539692, 0.8307126754226357, 0.8049349758368894, 0.7545158952476975]",0.6746598970776366,0.2592086504677976,0.0
小猫追着蝴蝶跑过花园,0.5,"['小', '猫', '追', '着', '蝴蝶', '跑', '过', '花园']","[0.0, 0.6145544178946492, 0.7600609464994285, 0.7436655768526569, 0.6600351028056457, 0.7768998073558843, 0.7551833508880065, 0.6929463408765212]",0.625418192896599,0.2421056353878715,0.0
阳光洒在金色的沙滩上,0.0,"['阳光', '洒', '在', '金色', '的', '沙滩', '上']","[0.0, 0.9197843716461417, 0.9757272968844332, 0.9539006247807986, 0.9429980809964839, 0.970442411684047, 0.9859419340605251]",0.8212563885789185,0.3359048360542621,0.016541786903248368
阳光洒在金色的沙滩上,0.2,"['阳光', '洒', '在', '金色', '的', '沙滩', '上']","[0.0, 0.8026803687581442, 0.8632146211170141, 0.8544377881951546, 0.8400694632564852, 0.8581589251480031, 0.864558284413824]",0.7261599215555179,0.2971185525141935,0.0037211369528484806
阳光洒在金色的沙滩上,0.3,"['阳光', '洒', '在', '金色', '的', '沙滩', '上']","[0.0, 0.7441283673141454, 0.8069582832333047, 0.8047063699023327, 0.7886051543864859, 0.8020171818799811, 0.8038664595904735]",0.6786116880438176,0.27779622851606606,0.0026891880223516296
阳光洒在金色的沙滩上,0.4,"['阳光', '洒', '在', '金色', '的', '沙滩', '上']","[0.0, 0.6855763658701467, 0.7507019453495951, 0.7549749516095107, 0.7371408455164866, 0.745875438611959, 0.7431746347671229]",0.6310634545321172,0.25853523938905415,0.009099512997551629
阳光洒在金色的沙滩上,0.5,"['阳光', '洒', '在', '金色', '的', '沙滩', '上']","[0.0, 0.627024364426148, 0.6944456074658857, 0.7052435333166887, 0.6856765366464873, 0.6897336953439371, 0.6824828099437723]",0.583515221020417,0.23935039279839276,0.015509837972751517
学生认真阅读一本好书,0.0,"['学生', '认真', '阅读', '一本', '好', '书']","[0.0, 0.9691735881403316, 0.9437583326720707, 0.9436482493140576, 0.8017971939419285, 0.9869986710014379]",0.7742293391783043,0.3514038398042841,0.0
学生认真阅读一本好书,0.2,"['学生', '认真', '阅读', '一本', '好', '书']","[0.0, 0.8862479945835628, 0.8749468363686181, 0.8592687326975934, 0.755880032598701, 0.8897362687657406]",0.7110133108357027,0.32121018868540446,0.0
学生认真阅读一本好书,0.3,"['学生', '认真', '阅读', '一本', '好', '书']","[0.0, 0.8447851978051784, 0.8405410882168919, 0.8170789743893614, 0.7329214519270871, 0.841105067647892]",0.6794052966644019,0.30628735105691013,0.0
学生认真阅读一本好书,0.4,"['学生', '认真', '阅读', '一本', '好', '书']","[0.0, 0.803322401026794, 0.8061353400651656, 0.7748892160811293, 0.7099628712554734, 0.7924738665300433]",0.647797282493101,0.2915043041860545,0.0
学生认真阅读一本好书,0.5,"['学生', '认真', '阅读', '一本', '好', '书']","[0.0, 0.7618596042484096, 0.7717295919134393, 0.7326994577728972, 0.6870042905838596, 0.7438426654121947]",0.6161892683218001,0.2768834396274429,0.0
医生仔细检查病人病情,0.0,"['医生', '仔细', '检查', '病人', '病情']","[0.0, 0.8526201857513153, 0.8740054608063601, 0.8416991419729939, 0.8524015906138941]",0.6841452758289127,0.34223350267150093,0.8740054608063601
